bid,startyear,maxRC
4bEjOyTaDG24SY5TxsaUNQ,2006,144.0
2e2e7WgqU1BnpxmQL5jbfw,2008,124.8
zt1TpTuJ6y9n551sw9TaEg,2011,121.2
sIyHTizqAiGu12XMLX3N3g,2013,152.4
Xhg93cMdemu5pAMkDoEdtQ,2010,90.0
YNQgak-ZLtYJQxlDwN-qIg,2007,67.2
tFU2Js_nbIZOrnKfYJYBBg,2006,55.2
CZjcFdvJhksq9dy58NVEzw,2006,50.4
aGbjLWzcrnEx2ZmMCFm3EA,2013,184.8
xfwRO04KbAPw_zRotCfWQQ,2007,76.8
DO3Gk17RyJVW7zYMCtYPnw,2006,49.2
QbmcCE_cLq4WO8ZMKImaLw,2011,82.8
eq6lQI039SBLC6sHm3idGA,2011,70.8
lliksv-tglfUz1T3B3vgvA,2006,63.6
xyTJYlbE_MLouK6rCou6zg,2006,49.2
PXviRcHR1mqdH4vRc2LEAQ,2011,76.8
BqrTtox0JbG-P_DKBB5bBw,2011,60.0
jOuERtVf7QePnK9ZcdH5XA,2007,40.8
mDdqifuTrfXAOfxiLMGu5Q,2013,84.0
HbUQ_3dlm3uCacmhTEMnuA,2006,38.4
FV16IeXJp2W6pnghTz2FAw,2008,57.6
rBPQuQgTcMtUq5-RYhY2uQ,2006,36.0
SsTxjxo8qvqBMvan1rzNzg,2006,43.2
8buIr1zBCO7OEcAQSZko7w,2006,45.6
DjOxXobyGDwWt89q4z1twg,2011,56.4
NsnZ5GhagXBKrCOelxVQxw,2009,39.6
tqu42L0qXzkvYKSruOz0IA,2007,33.6
IRYj1b1-mlXqABVsl9SoqQ,2012,86.4
ngNvH4sxnH9aMukTZ67R_Q,2007,37.2
SLyacGZuMUKqrQJEooSkjw,2006,28.8
YrIfgzLj0DPStJ1ESAS_Qg,2008,37.2
4UVhuOLaMm2-34SrW8y-ag,2007,30.0
zTCCbg7mGslxACL5KlAPIQ,2010,34.8
KjymOs12Mpy0Kd54b7T9MA,2006,31.2
5GKbGn9-fAgQ0njSh3OJ8A,2009,34.8
RhbOa-Ft3sZB4B_1j5LfyA,2010,79.2
HyfFenprdpIA4rmKu6DW3g,2007,46.8
YacTpiq0ZptFcXD7I-kdGA,2006,26.4
LLDGTT7FExklkQvHebEjRg,2006,34.8
1yx2zLskVTe5WQdYjL2Apw,2006,54.0
eLPld7Q17XxlclFGzZQX5g,2007,42.0
AeKTQBtPRDHLAFL9bzbUnA,2012,38.4
BqD7X5CHXnJ14YbBBlLx1w,2010,36.0
Pz7SWZQhxL6ZbhL9jE2NTA,2006,25.2
vSf0pqvaLp5sVSjJPeOqqQ,2011,30.0
3fV9sL5LklD9ZSeONKmjkw,2009,22.8
H_SuH7uLiYahDMbNBB9kog,2011,49.2
gGeVLZ9j_wAYKbaqgnKSJA,2007,24.0
ASOiJ8MmbBTgK2D1_MQrqg,2007,25.2
ryvMJK6AlbU35HKrlFT61w,2009,26.4
Z0kyK8wCBNGkkUT9UrMWcg,2007,30.0
3MmHmJXr8Ltk_Z5EGE4KUw,2009,26.4
BW1JCE3Qj4uIokg7kLUL7w,2007,30.0
ES-j5yNTgmgbL4He0h6otA,2006,25.2
cMvN1j-LK64zqmT4vnl8NA,2011,31.2
szw8OGJlsqaA3i2oe7dn9A,2010,24.0
naLrErBuJr9IWd6_rv6-XQ,2009,27.6
iXA8Y2bzvZo8MjALfZxrIg,2007,34.8
05fTEsjUPVo5jks8PpNKCQ,2013,63.6
ZP6qFq7LUh6Tr7WHPoOW6g,2013,50.4
Q_Rwcv9APBLggk2KAsBEvg,2007,28.8
N50HceZf1595UtU867u4uQ,2007,26.4
xNcqwYAUeVOhe3KNC4Xjaw,2009,22.8
KJnVuzpveyDrHARVNZaYVg,2007,30.0
XDYnLQC8ViZejuCDp4eCwg,2007,26.4
q_DrPmiLrHEpR_SQvQXELQ,2006,19.2
KcSJUq1kwO8awZRMS6Q49g,2009,22.8
LCeF1wK5OqP3PPEVBa5Xfw,2011,39.6
nZgYNbl1XlZyyKlISMoG6w,2012,40.8
kwEQ3uY9Jwmknb5kNg3UlA,2009,26.4
BQjGE1Z3nk253XzIZqt8Gg,2007,24.0
lPh02W25cOrAz57UbTpbFQ,2009,30.0
1U1GRksKXF7q8FKcW0e5VQ,2011,33.6
8zL3V6rmFKBess3bxPLAoQ,2007,24.0
Zf7fMSe7yuW727JyikdBsg,2007,32.4
QJlab4DqvBRJPUfg7Vn5ZQ,2007,22.8
j_pce4pG9krrBeYwUni8Pg,2009,28.8
OiCxoAIoBvEWxf7p1qVVmA,2010,25.2
8Pzdk19tA2bKlKDSgwWqoQ,2011,26.4
cN6qpVw6RaSrSI-JGGF4Tw,2011,25.2
-2n-OHbbwIv3SY8RP9bgTQ,2007,21.6
QRXv7Jvq_SuiiT_SKvbdig,2011,27.6
4uGHPY-OpJN08CabtTAvNg,2007,18.0
OwBPjUz2o0J5K3DzcHkBtg,2013,74.4
t6SuvEq9PPVGzNv5bJzDtw,2013,44.4
tn5SXZvWiT-uVsjXLGSrww,2007,19.2
ateowLnq6kpgNNWHzCDByQ,2013,109.2
y6NFyThUU2wtTNa0rX7VrA,2011,26.4
ggoYlZeQhATwb_yGSntfdw,2007,24.0
b25jGkZerj2M4WAy95n1Tg,2008,31.2
rfDTJLEwZZ2EGOZiTDdqQA,2007,18.0
dVAurLD1bBIi9IvuMFoL5g,2006,20.4
yJDSMugu_Pom3pJE8MRrJA,2008,21.6
UEUQS4z7s-DRzQjky92KYw,2006,24.0
9Bnc9YP0n5cR57xkP6fQmQ,2007,27.6
s5-VDvUqyYnD8RG3LPqnbQ,2013,103.2
pPfQ73--Y_h5Or0aqDgEGA,2013,31.2
J4qLz0nGzCTMf6-kf_SiQg,2007,20.4
yD1dRYi7USzhYVKiqZ7JVg,2007,24.0
25fxw_jOqZtJwl18cCarIA,2013,51.6
